学科名称,问题,答案
中药基础,什么是四气五味？,"四气五味是中药药性理论的核心内容。四气指药物的寒、热、温、凉四种药性，又称四性；五味指药物的辛、甘、酸、苦、咸五种味道。四气反映药物对人体阴阳盛衰的作用趋向，五味反映药物的不同功效特点。辛能散能行，甘能补能缓，酸能收能涩，苦能泄能燥，咸能软能下。"
中药基础,人参的主要功效和适用人群是什么？,"人参性温，味甘、微苦，归脾、肺、心、肾经。主要功效为大补元气、复脉固脱、补脾益肺、生津养血、安神益智。适用于气虚欲脱、脉微欲绝、脾虚食少、肺虚喘咳、津伤口渴、内热消渴、气血亏虚、惊悸失眠等症。实证、热证而正气不虚者忌服，不宜与藜芦同用。"
中药基础,黄芪和党参有什么区别？,"黄芪性微温味甘，归脾、肺经，善补气升阳、固表止汗、利水消肿、生津养血，偏于走表，用于表虚自汗、气虚水肿；党参性平味甘，归脾、肺经，善补中益气、健脾益肺、养血生津，偏于走里，用于脾肺气虚、气血两亏。黄芪长于升阳举陷，党参长于养血。两者常配伍使用增强补气效果。"
方剂学,什么是四君子汤？其组成和作用是什么？,"四君子汤出自《太平惠民和剂局方》，由人参、白术、茯苓、炙甘草四味药组成。功效为益气健脾，主治脾胃气虚证。方中人参为君，甘温益气、健脾养胃；白术为臣，苦温健脾燥湿；茯苓为佐，甘淡渗湿健脾；炙甘草为使，甘温调中。四药合用，温而不燥，补而不峻，是治疗脾胃气虚的基础方剂。"
方剂学,六味地黄丸的组成与适用症状？,"六味地黄丸出自《小儿药证直诀》，由熟地黄、山茱萸、山药、泽泻、牡丹皮、茯苓六味药组成。功效为滋阴补肾，主治肾阴虚证。症见腰膝酸软、头晕目眩、耳鸣耳聋、盗汗、遗精、消渴、骨蒸潮热、手足心热、舌红少苔、脉细数。方中熟地为君滋补肾阴，山茱萸补肝涩精，山药补脾固精，三泻药泽泻、丹皮、茯苓防补药之腻滞。"
中药基础,道地药材是什么意思？举例说明。,"道地药材是指在一特定自然条件和生态环境的区域内所产的药材，因生产较为集中，栽培技术和采收加工方法讲究，以致品质优良、疗效显著，为世所公认而久负盛名。如：吉林人参、宁夏枸杞、四川黄连、河南怀地黄、云南三七、甘肃当归、安徽亳白芍、广东广藿香等。""道""是古代行政区划，""地""指产地，道地药材强调产地与品质的密切关系。"
中医基础理论,简述阴阳学说的基本内容。,"阴阳学说认为世界是阴阳二气对立统一的结果。基本内容包括：①阴阳对立制约——阴阳双方相互排斥、相互斗争；②阴阳互根互用——阴阳相互依存，互为根本；③阴阳消长平衡——阴阳处于不断的增减变化中，维持动态平衡；④阴阳相互转化——在一定条件下，阴阳可以向各自相反的方向转化，如""重阴必阳，重阳必阴""。阴阳学说贯穿于中医的生理、病理、诊断和治疗各个方面。"
中医基础理论,五行学说中五脏与五行的对应关系？,"五行学说将五脏与五行对应：肝属木，心属火，脾属土，肺属金，肾属水。相生关系为：木生火（肝生心）、火生土（心生脾）、土生金（脾生肺）、金生水（肺生肾）、水生木（肾生肝）。相克关系为：木克土（肝克脾）、土克水（脾克肾）、水克火（肾克心）、火克金（心克肺）、金克木（肺克肝）。这一理论指导着中医对脏腑生理病理关系的认识。"
针灸学,足三里穴的位置和功效是什么？,"足三里穴属足阳明胃经，位于小腿外侧，犊鼻下3寸，胫骨前嵴外一横指处。功效为健脾和胃、扶正培元、通经活络、升降气机。主治胃痛、呕吐、腹胀、泄泻、便秘等脾胃病症，以及虚劳羸瘦、心悸气短、失眠、头晕等。足三里是强壮保健要穴，有""若要安，三里常不干""之说，可灸可针。"
中药基础,陈皮和青皮的区别与功效？,"陈皮为成熟果皮，性温味辛苦，归脾、肺经，功效理气健脾、燥湿化痰，用于脾胃气滞、湿痰咳嗽。青皮为未成熟果皮，性温味苦辛，归肝、胆、胃经，功效疏肝破气、消积化滞，用于肝气郁滞、食积腹痛。陈皮作用缓和，长于理脾肺之气；青皮作用峻烈，长于疏肝胆之气。陈皮偏上中二焦，青皮偏中下二焦。"
方剂学,桂枝汤的组成和主治是什么？,"桂枝汤出自《伤寒论》，由桂枝、白芍、生姜、大枣、炙甘草五味组成。功效为解肌发表、调和营卫，主治外感风寒表虚证。症见头痛发热、汗出恶风、鼻鸣干呕、舌苔薄白、脉浮缓。方中桂枝为君，解肌发表、温通经脉；白芍为臣，敛阴和营；生姜助桂枝散寒，大枣助白芍和营；炙甘草调和诸药。桂枝汤为仲景群方之冠，是调和营卫的代表方。"
中医基础理论,什么是八纲辨证？,"八纲辨证是中医辨证的基本纲领，指阴、阳、表、里、寒、热、虚、实八类证候。表里辨病位深浅，寒热辨病性寒热，虚实辨邪正盛衰，阴阳为总纲（表、热、实属阳，里、寒、虚属阴）。八纲辨证是对疾病本质的概括，是其他辨证方法的基础，临床各科均需运用八纲进行综合分析，以确定疾病的性质、部位和正邪对比。"
中药基础,当归的功效与常用配伍？,"当归性温，味甘辛，归肝、心、脾经。功效为补血活血、调经止痛、润肠通便。常用于血虚萎黄、月经不调、经闭痛经、虚寒腹痛、肠燥便秘等。配伍黄芪即当归补血汤，益气生血；配伍川芎即佛手散，活血行气；配伍白芍即四物汤核心药对，养血柔肝。当归头偏于补血，归尾偏于活血，全归补血活血兼备。湿盛中满、大便泄泻者忌服。"
中药基础,金银花和连翘的功效异同？,"相同点：两者均有清热解毒、疏散风热的功效，常相须为用治疗外感风热、温病初起及热毒疮痈。不同点：金银花疏散风热之力较优，且能凉血止痢，用于热毒血痢；连翘清热解毒之力较优，且能消痈散结，为""疮家圣药""，用于痈肿疮毒、瘰疬痰核。金银花偏走上焦，连翘善清心火而利尿通淋。银翘散中以两者为君药。"
针灸学,针灸治疗的基本原理是什么？,"针灸通过刺激特定穴位，激发经络之气，调节脏腑功能，达到防治疾病的目的。基本原理包括：①调和阴阳——通过补泻手法调整阴阳失衡；②扶正祛邪——增强正气、祛除病邪；③疏通经络——使气血运行通畅。现代研究证实针灸可调节神经-内分泌-免疫网络，促进内源性阿片肽释放，改善局部微循环，调节自主神经功能。"
中医基础理论,气血津液的基本概念？,"气是构成人体和维持生命活动的最基本物质，具有推动、温煦、防御、固摄、气化等作用。血是循行于脉中的红色液态物质，具有濡养滋润全身的功能。津液是机体一切正常水液的总称，清稀者为津，分布于肌肤腠理以滋润；稠厚者为液，渗入关节脑髓以濡养。气能生血、行血、摄血；血为气之母，能载气养气。气血津液相互依存、相互为用。"
方剂学,逍遥散的主治与配伍特点？,"逍遥散出自《太平惠民和剂局方》，由柴胡、当归、白芍、白术、茯苓、炙甘草、煨姜、薄荷组成。功效疏肝解郁、养血健脾，主治肝郁血虚脾弱证。症见两胁作痛、头痛目眩、口燥咽干、神疲食少、月经不调、乳房胀痛。配伍特点：疏肝、养血、健脾三法并用，疏中兼养，散中兼收，肝脾同治，气血兼顾。是治疗""肝郁脾虚""的代表方。"
